_id,term,high_school_name,high_school_ceeb,city,county,zip_code,total_attending_suny_institutions,attending_suny_doctoral_institutions,attending_suny_comprehensive_colleges,attending_suny_technology_colleges,attending_suny_community_colleges
608833494e591253b5937357,2019,Urban Assembly Academy Of Gov,330971,New York,New York,10002,10,1,5,1,1
608833494e591253b5937358,2019,Bronx Regional High School,330529,Bronx,Bronx,10459,6,0,1,0,5
608833494e591253b5937359,2019,Erasmus Hall Campus,330691,Brooklyn,Kings,11226,1,0,0,0,1
608833494e591253b593735a,2019,Comprehensive Model School,331102,Bronx,Bronx,10452,10,1,7,0,0
608833494e591253b593735b,2019,Jane Addams Voc High School,333721,Bronx,Bronx,10456,1,0,0,1,0
608833494e591253b593735c,2019,High School Of American Studie,330603,Bronx,Bronx,10468,18,16,1,0,1
608833494e591253b593735d,2019,Christopher Columbus High Sch,333560,Bronx,Bronx,10469,1,0,0,0,1
608833494e591253b593735e,2019,Letchworth Central School,332025,Gainesville,Wyoming,14066,34,1,5,5,23
608833494e591253b593735f,2019,Highland High School,332370,Highland,Ulster,12528,73,6,17,1,48
608833494e591253b5937360,2019,New Vision Chrt H S Humanities,331091,Bronx,Bronx,10463,27,1,7,9,9
608833494e591253b5937361,2019,Elba Central School,331775,Elba,Genesee,14058,18,1,6,1,7
608833494e591253b5937362,2019,Metropolitan Soundview High,330474,Bronx,Bronx,10472,14,1,1,1,9
608833494e591253b5937363,2019,Charlotte High School,334762,Rochester,Monroe,14612,6,0,0,0,6
608833494e591253b5937364,2019,Mott Haven Village Preparatory,330559,Bronx,Bronx,10455,6,1,1,1,1
608833494e591253b5937365,2019,Marathon Central School,333035,Marathon,Cortland,13803,31,1,1,5,23
608833494e591253b5937366,2019,Candor Central School,331210,Candor,Tioga,13743,23,1,5,1,15
608833494e591253b5937367,2019,Franklin D Roosevelt High Scho,332500,Hyde Park,Dutchess,12538,188,16,22,6,144
608833494e591253b5937368,2019,General Douglas Mac Arthur  H,332802,Levittown,Nassau,11756,127,19,17,39,52
608833494e591253b5937369,2019,Hyde Leadership Charter School,330978,Bronx,Bronx,10474,14,6,1,4,1
608833494e591253b593736a,2019,Academy For Coll Prep & Career,330723,Brooklyn,Kings,11226,1,0,1,0,0
608833494e591253b593736b,2019,Newburgh Free Academy,333310,Newburgh,Orange,12550,315,25,51,5,234
608833494e591253b593736c,2019,Wantagh High School,335765,Wantagh,Nassau,11793,109,18,29,15,47
608833494e591253b593736d,2019,Hermon - De Kalb Central Schoo,332350,De Kalb Junction,St. Lawrence,13630,4,0,1,1,0
608833494e591253b593736e,2019,Valley Central High School,335750,Montgomery,Orange,12549,132,14,30,9,79
608833494e591253b593736f,2019,Urban Assembly School For The,330841,New York,New York,10027,20,1,12,1,4
608833494e591253b5937370,2019,Archbishop Stepinac High Schoo,335940,White Plains,Westchester,10605,40,6,8,5,21
608833494e591253b5937371,2019,Croton - Harmon High School,331550,Croton On Hudson,Westchester,10520,46,11,15,1,19
608833494e591253b5937372,2019,Urban Assembly Emergency Mgmt,331171,New York,New York,10038,8,0,7,1,0
608833494e591253b5937373,2019,Poughkeepsie High School,334630,Poughkeepsie,Dutchess,12603,94,4,5,1,83
608833494e591253b5937374,2019,Addison Central School,330010,Addison,Steuben,14801,5,1,1,1,1
608833494e591253b5937375,2019,East Irondequoit Eastridge Hig,334797,Rochester,Monroe,14622,108,9,23,4,72
608833494e591253b5937376,2019,Coney Island Prep Public Chart,331151,Brooklyn,Kings,11223,11,1,8,0,0
608833494e591253b5937377,2019,Beacon School,333438,New York,New York,10036,44,29,10,0,5
608833494e591253b5937378,2019,East New York Family Academy,330678,Brooklyn,Kings,11207,1,0,0,1,0
608833494e591253b5937379,2019,John Jay High School,330747,Brooklyn,Kings,11215,1,0,1,0,1
608833494e591253b593737a,2019,Saint Catharine Academy,333965,Bronx,Bronx,10469,25,1,7,6,9
608833494e591253b593737b,2019,International H S - Union Squa,333427,New York,New York,10003,4,1,1,0,1
608833494e591253b593737c,2019,Colonie Central High School,330055,Albany,Albany,12205,182,43,24,5,110
608833494e591253b593737d,2019,Roslyn High School,334920,Roslyn Heights,Nassau,11577,57,24,10,5,18
608833494e591253b593737e,2019,Clinton Senior High School,331400,Clinton,Oneida,13323,59,9,15,5,30
608833494e591253b593737f,2019,Newcomers High School,332893,Long Island City,Queens,11101,13,10,1,0,0
608833494e591253b5937380,2019,Ripley Central School,334745,Ripley,Chautauqua,14775,1,0,0,1,0
608833494e591253b5937381,2019,New Buffalo Sch Cul Hspty Mgmt,330070,Buffalo,Erie,14220,6,0,1,0,4
608833494e591253b5937382,2019,Cazenovia Central High School,331280,Cazenovia,Madison,13035,57,6,19,12,20
608833494e591253b5937383,2019,West Hempstead High School,335895,West Hempstead,Nassau,11552,84,7,22,7,48
608833494e591253b5937384,2019,Discovery High School,330609,Bronx,Bronx,10468,8,1,1,1,1
608833494e591253b5937385,2019,World View High School,331144,Bronx,Bronx,10468,4,1,1,1,1
608833494e591253b5937386,2019,Harmony Heights High School,334382,East Norwich,Nassau,11732,4,0,1,0,1
